Blog_160886-12595823.10	Blog_160886-12595823.10.14	go down into NT PH	why is 11 a KoP?			
Blog_265827-15106306.11	Blog_265827-15106306.11.7					
Blog_265827-15106306.11	Blog_265827-15106306.11.10					
Blog_265827-15106306.11	Blog_265827-15106306.11.1					
Blog_265827-15106306.13	Blog_265827-15106306.13.3					
Blog_265827-15106306.14	Blog_265827-15106306.14.3					
Blog_265827-14749673.3	Blog_265827-14749673.3.8					
Blog_265827-14749673.5	Blog_265827-14749673.5.nt.7					
Blog_265827-14749673.5	Blog_265827-14749673.5.nt.6					
Blog_265827-14749673.5	Blog_265827-14749673.5.nt.4					
Blog_265827-14749673.5	Blog_265827-14749673.5.nt.5					
Blog_265827-15028532.3	Blog_265827-15028532.3.7					
Blog_265827-15106304.2	Blog_265827-15106304.2.9					
Blog_6843-4868011.1	Blog_6843-4868011.1.nt.11					
Blog_6843-5164672.9	Blog_6843-5164672.9.20					
Blog_6843-5164672.10	Blog_6843-5164672.10.24					
Blog_6843-5164672.10	Blog_6843-5164672.10.9					
Blog_6843-5164672.12	Blog_6843-5164672.12.8					
Blog_6843-5164672.15	Blog_6843-5164672.15.11					
Blog_6843-5164672.15	Blog_6843-5164672.15.8					
Blog_6843-4328736.1	Blog_6843-4328736.1.6					
Blog_6843-4328736.4	Blog_6843-4328736.4.3					
Blog_6843-4328736.4	Blog_6843-4328736.4.1					
Blog_6843-4255016.2	Blog_6843-4255016.2.9					
Blog_6843-4255016.2	Blog_6843-4255016.2.12					
Blog_6843-4255016.2	Blog_6843-4255016.2.13					
Blog_6843-4255016.5	Blog_6843-4255016.5.25					
Blog_6843-4255016.6	Blog_6843-4255016.6.7					
Blog_6843-4255016.14	Blog_6843-4255016.14.10					
Blog_6843-3465275.2	Blog_6843-3465275.2.25					
Blog_6843-3465275.3	Blog_6843-3465275.3.5					
Blog_6843-3465275.7	Blog_6843-3465275.7.10					
Blog_6843-3465275.10	Blog_6843-3465275.10.3					
Blog_6843-3465275.11	Blog_6843-3465275.11.3					
Blog_6843-3465275.12	Blog_6843-3465275.12.2					
Blog_6843-3465275.13	Blog_6843-3465275.13.2					
Blog_6843-3465275.14	Blog_6843-3465275.14.1					
Blog_6843-3465275.15a	Blog_6843-3465275.15a.2					
Blog_6843-3465275.15b	Blog_6843-3465275.15b.1					
Blog_6843-4575758.5	Blog_6843-4575758.5.20					
Blog_6843-2767923.9	Blog_6843-2767923.9.6					
Blog_6843-2767923.14	Blog_6843-2767923.14.2					
Blog_6843-2767923.16	Blog_6843-2767923.16.24					
Blog_6843-2767923.16	Blog_6843-2767923.16.20					
Blog_6843-2767923.18	Blog_6843-2767923.18.12					
Blog_6843-2767923.19	Blog_6843-2767923.19.10					
Blog_6843-2767923.19	Blog_6843-2767923.19.20					
Blog_6843-2767923.19	Blog_6843-2767923.19.16					
Blog_6843-2767923.19	Blog_6843-2767923.19.22					
Blog_5089-9048317.2	Blog_5089-9048317.2.nt.7					
Blog_5089-9048317.3	Blog_5089-9048317.3.21					
Blog_5089-9048317.4	Blog_5089-9048317.4.3					
Blog_5089-9048317.9	Blog_5089-9048317.9.6					
Blog_5089-9048317.15	Blog_5089-9048317.15.11					
Blog_5089-9048317.16	Blog_5089-9048317.16.3					
Blog_5089-9048317.16	Blog_5089-9048317.16.9					
Blog_5089-9048317.17	Blog_5089-9048317.17.5					
Blog_5089-9048317.17	Blog_5089-9048317.17.7					
Blog_5089-9048317.33	Blog_5089-9048317.33.9					
Blog_5089-9048317.35	Blog_5089-9048317.35.8					
Blog_5089-9048317.36	Blog_5089-9048317.36.16					
Blog_5089-9048317.36	Blog_5089-9048317.36.8					
Blog_5089-9048317.39	Blog_5089-9048317.39.9					
Blog_5089-12282516.4	Blog_5089-12282516.4.10					
Blog_5089-12282516.5	Blog_5089-12282516.5.4					
Blog_5089-12282516.6	Blog_5089-12282516.6.2					
Blog_5089-12282516.7	Blog_5089-12282516.7.16					
Blog_5089-12282516.13	Blog_5089-12282516.13.10					
Blog_5089-12282516.14	Blog_5089-12282516.14.3					
Blog_5089-12282516.17	Blog_5089-12282516.17.12					
Blog_5089-12282516.25	Blog_5089-12282516.25.14					
Blog_5089-12282516.29	Blog_5089-12282516.29.3					
Blog_5089-12282516.31	Blog_5089-12282516.31.nt.12					
Blog_5089-12282516.31	Blog_5089-12282516.31.2					
Blog_5089-3694482.2	Blog_5089-3694482.2.2					
Blog_5089-3694482.2	Blog_5089-3694482.2.5					
Blog_5089-3694482.6	Blog_5089-3694482.6.4					
Blog_5089-3694482.11	Blog_5089-3694482.11.1					
Blog_5089-3694482.14	Blog_5089-3694482.14.4					
Blog_5089-3694482.15	Blog_5089-3694482.15.15					
Blog_5089-3694482.15	Blog_5089-3694482.15.7					
Blog_5089-9240616.11	Blog_5089-9240616.11.12					
Blog_5089-9240616.11	Blog_5089-9240616.11.10					
Blog_5089-9240616.11	Blog_5089-9240616.11.7					
Blog_5089-9240616.19	Blog_5089-9240616.19.6					
Blog_5089-9240616.20	Blog_5089-9240616.20.16					
Blog_5089-9240616.20	Blog_5089-9240616.20.12					
Blog_5089-9240616.22	Blog_5089-9240616.22.21					
Blog_5089-9240616.22	Blog_5089-9240616.22.22					
Blog_5089-9240616.26	Blog_5089-9240616.26.26					
Blog_5089-9240616.28	Blog_5089-9240616.28.24					
Blog_5089-9240616.30	Blog_5089-9240616.30.6					
Blog_5089-9240616.33	Blog_5089-9240616.33.9					
Blog_5089-9240616.33	Blog_5089-9240616.33.5					
Blog_5089-9240616.37	Blog_5089-9240616.37.14					
Blog_5089-9240616.37	Blog_5089-9240616.37.13					
Blog_5089-62681.6	Blog_5089-62681.6.9					
Blog_5089-62681.15	Blog_5089-62681.15.13					
Blog_5089-62681.15	Blog_5089-62681.15.12					
Blog_5089-62681.15	Blog_5089-62681.15.8					
Blog_5089-62681.15	Blog_5089-62681.15.7					
Blog_5089-62681.15	Blog_5089-62681.15.2					
Blog_5089-62681.24	Blog_5089-62681.24.10					
Blog_5089-62681.25	Blog_5089-62681.25.4					
Blog_5089-62681.31	Blog_5089-62681.31.9					
Blog_9154-5334916.5	Blog_9154-5334916.5.12					
Blog_9154-5334916.7	Blog_9154-5334916.7.2					
Blog_9154-5334916.8	Blog_9154-5334916.8.4					
Blog_9154-6030495.3	Blog_9154-6030495.3.15					
Blog_9154-6030495.3	Blog_9154-6030495.3.14					
Blog_9154-6030495.4	Blog_9154-6030495.4.11					
Blog_9154-6030495.4	Blog_9154-6030495.4.5					
Blog_9154-6030495.8	Blog_9154-6030495.8.10					
Blog_9154-6030495.11	Blog_9154-6030495.11.7					
Blog_9154-6030495.11	Blog_9154-6030495.11.11					
Blog_9154-6030495.11	Blog_9154-6030495.11.12					
Blog_9154-6030495.12	Blog_9154-6030495.12.10					
Blog_9154-6336623.3	Blog_9154-6336623.3.5					
Blog_9154-6336623.4	Blog_9154-6336623.4.7					
Blog_9154-6336623.9	Blog_9154-6336623.9.14					
Blog_9154-501423.2	Blog_9154-501423.2.21					
Blog_9154-4949551.1	Blog_9154-4949551.1.15					
Blog_9154-4949551.3	Blog_9154-4949551.3.nt.6					
Blog_9154-4949551.5	Blog_9154-4949551.5.3					
Blog_54523-7856343.2	Blog_54523-7856343.2.22					
Blog_54523-7856343.2	Blog_54523-7856343.2.21					
Blog_54523-7856343.6	Blog_54523-7856343.6.13					
Blog_54523-7856343.7	Blog_54523-7856343.7.5					
Blog_54523-7856343.8	Blog_54523-7856343.8.33					
Blog_54523-7856343.8	Blog_54523-7856343.8.18					
Blog_54523-7856343.8	Blog_54523-7856343.8.6					
Blog_54523-7856343.14	Blog_54523-7856343.14.26					
Blog_54523-7856343.14	Blog_54523-7856343.14.27					
Blog_54523-7856343.14	Blog_54523-7856343.14.14					
Blog_54523-7856343.21	Blog_54523-7856343.21.nt.10					
Blog_54523-8202951.1	Blog_54523-8202951.1.11					
Blog_54523-8202951.3	Blog_54523-8202951.3.5					
Blog_54523-8202951.4	Blog_54523-8202951.4.12					
Blog_54523-8202951.5	Blog_54523-8202951.5.13					
Blog_54523-8202951.5	Blog_54523-8202951.5.11					
Blog_54523-8202951.7	Blog_54523-8202951.7.9					
Blog_54523-8202951.10	Blog_54523-8202951.10.1					
Blog_54523-8202951.12c	Blog_54523-8202951.12c.37					
Blog_54523-9913239.9	Blog_54523-9913239.9.22					
Blog_54523-9913239.9	Blog_54523-9913239.9.14					
Blog_54523-9913239.11	Blog_54523-9913239.11.5					
Blog_54523-9913239.11	Blog_54523-9913239.11.29					
Blog_54523-6490319.2	Blog_54523-6490319.2.14					
Blog_54523-6490319.2	Blog_54523-6490319.2.54					
Blog_54523-6490319.2	Blog_54523-6490319.2.40					
Blog_54523-6490319.4	Blog_54523-6490319.4.10					
Blog_54523-9491151.2	Blog_54523-9491151.2.9					
Blog_54523-9491151.2	Blog_54523-9491151.2.12					
Blog_54523-9491151.2	Blog_54523-9491151.2.7					
Blog_54523-9491151.3	Blog_54523-9491151.3.5					
Blog_54523-9491151.3	Blog_54523-9491151.3.7					
Blog_54523-9491151.5	Blog_54523-9491151.5.11					
Blog_54523-9491151.12	Blog_54523-9491151.12.5					
Blog_54523-9491151.12	Blog_54523-9491151.12.4					
Blog_54523-4665614.2	Blog_54523-4665614.2.11					
Blog_54523-4665614.2	Blog_54523-4665614.2.12					
Blog_54523-4665614.5	Blog_54523-4665614.5.8					
Blog_54523-4665614.6	Blog_54523-4665614.6.15					
Blog_54523-14269154.1	Blog_54523-14269154.1.17					
Blog_54523-14269154.1	Blog_54523-14269154.1.56					
Blog_54523-14269154.1	Blog_54523-14269154.1.63					
Blog_54523-14269154.12	Blog_54523-14269154.12.34					
Blog_54523-14269154.12	Blog_54523-14269154.12.35					
Eupa_00-01-17.3	Eupa_00-01-17.3.3					
Eupa_00-01-17.4	Eupa_00-01-17.4.5					
Eupa_00-01-17.5	Eupa_00-01-17.5.2					
Eupa_00-01-17.7	Eupa_00-01-17.7.11					
Eupa_00-01-17.7	Eupa_00-01-17.7.22					
Eupa_00-01-17.12	Eupa_00-01-17.12.10					
Eupa_00-01-17.13	Eupa_00-01-17.13.15					
Eupa_00-01-17.14	Eupa_00-01-17.14.42					
Eupa_00-01-17.14	Eupa_00-01-17.14.35					
Eupa_00-01-17.15	Eupa_00-01-17.15.12					
Eupa_00-01-17.16	Eupa_00-01-17.16.4					
Eupa_00-01-17.20	Eupa_00-01-17.20.18					
Eupa_00-01-17.27	Eupa_00-01-17.27.7					
Eupa_00-01-17.31	Eupa_00-01-17.31.2					
Eupa_00-01-17.39	Eupa_00-01-17.39.4					
Eupa_00-01-17.41	Eupa_00-01-17.41.14					
Eupa_00-01-17.43	Eupa_00-01-17.43.4					
Eupa_00-01-17.61	Eupa_00-01-17.61.3					
Eupa_00-01-17.63	Eupa_00-01-17.63.17					
Eupa_00-01-17.66	Eupa_00-01-17.66.17					
Eupa_00-01-17.84	Eupa_00-01-17.84.18					
Eupa_00-01-17.88	Eupa_00-01-17.88.13					
Eupa_00-01-17.94	Eupa_00-01-17.94.15					
Eupa_00-01-17.96	Eupa_00-01-17.96.40					
Eupa_00-01-17.98	Eupa_00-01-17.98.17					
Eupa_00-01-17.99	Eupa_00-01-17.99.11					
Eupa_00-01-17.102	Eupa_00-01-17.102.63					
Eupa_00-01-17.116	Eupa_00-01-17.116.13					
Eupa_00-01-17.117	Eupa_00-01-17.117.5					
Eupa_00-01-17.159	Eupa_00-01-17.159.15					
Eupa_00-01-17.159	Eupa_00-01-17.159.22					
Eupa_00-01-17.163	Eupa_00-01-17.163.nt.36					
Eupa_00-01-17.163	Eupa_00-01-17.163.nt.37					
Eupa_00-01-17.165	Eupa_00-01-17.165.4					
Eupa_00-01-17.165	Eupa_00-01-17.165.2					
Eupa_00-01-17.168	Eupa_00-01-17.168.5					
Eupa_00-01-17.173	Eupa_00-01-17.173.12					
Eupa_00-01-17.184	Eupa_00-01-17.184.3					
Eupa_00-01-17.194	Eupa_00-01-17.194.5					
Eupa_00-01-17.201	Eupa_00-01-17.201.3					
Eupa_00-01-17.207	Eupa_00-01-17.207.10					
Eupa_00-01-17.208	Eupa_00-01-17.208.10					
Eupa_00-01-17.218	Eupa_00-01-17.218.1					
Eupa_00-01-17.218	Eupa_00-01-17.218.nt.35					
Eupa_00-01-17.221	Eupa_00-01-17.221.4					
Eupa_00-01-17.237	Eupa_00-01-17.237.26					
Eupa_00-01-17.240	Eupa_00-01-17.240.17					
Eupa_00-01-17.240	Eupa_00-01-17.240.14					
Eupa_00-01-17.243	Eupa_00-01-17.243.24					
Eupa_00-01-17.244	Eupa_00-01-17.244.21					
Eupa_00-01-17.247	Eupa_00-01-17.247.8					
Eupa_00-01-17.249	Eupa_00-01-17.249.8					
Eupa_00-01-17.252	Eupa_00-01-17.252.23					
Eupa_00-01-17.253	Eupa_00-01-17.253.24					
Eupa_00-01-17.253	Eupa_00-01-17.253.28					
Eupa_00-01-17.270	Eupa_00-01-17.270.5					
Eupa_00-01-17.270	Eupa_00-01-17.270.21					
Eupa_00-01-17.270	Eupa_00-01-17.270.1					
Eupa_00-01-17.272	Eupa_00-01-17.272.nt.34					
Eupa_00-01-17.272	Eupa_00-01-17.272.16					
Eupa_00-01-17.272	Eupa_00-01-17.272.20					
Eupa_00-01-17.275	Eupa_00-01-17.275.16					
Eupa_00-01-17.279	Eupa_00-01-17.279.10					
Eupa_00-01-17.287	Eupa_00-01-17.287.4					
Eupa_00-01-17.293	Eupa_00-01-17.293.nt.4					
Eupa_00-01-17.301	Eupa_00-01-17.301.35					
Eupa_00-01-17.308	Eupa_00-01-17.308.14					
Eupa_00-01-17.310	Eupa_00-01-17.310.19					
Eupa_00-01-17.311	Eupa_00-01-17.311.23					
Eupa_00-01-17.313	Eupa_00-01-17.313.nt.3					
Eupa_00-01-17.315	Eupa_00-01-17.315.14					
Eupa_00-01-17.316	Eupa_00-01-17.316.11					
Eupa_00-01-17.329	Eupa_00-01-17.329.14					
Eupa_00-01-17.329	Eupa_00-01-17.329.10					
Eupa_00-01-17.334	Eupa_00-01-17.334.nt.3					
Eupa_00-01-17.335	Eupa_00-01-17.335.12					
Eupa_00-01-17.338	Eupa_00-01-17.338.4					
Eupa_00-01-17.342	Eupa_00-01-17.342.5					
Eupa_00-01-17.342	Eupa_00-01-17.342.9					
Eupa_00-01-17.343	Eupa_00-01-17.343.15					
Eupa_00-01-17.347	Eupa_00-01-17.347.5					
Eupa_00-01-17.349	Eupa_00-01-17.349.5					
Eupa_00-01-17.352	Eupa_00-01-17.352.nt.16					
Eupa_00-01-17.356	Eupa_00-01-17.356.2					
Eupa_00-01-17.362	Eupa_00-01-17.362.16					
Eupa_00-01-17.362	Eupa_00-01-17.362.nt.18					
Eupa_00-01-17.365	Eupa_00-01-17.365.13					
Eupa_00-01-17.375	Eupa_00-01-17.375.21					
Eupa_00-01-17.384	Eupa_00-01-17.384.nt.3					
Eupa_00-01-17.389	Eupa_00-01-17.389.3					
Eupa_00-01-17.405	Eupa_00-01-17.405.6					
Eupa_00-01-17.405	Eupa_00-01-17.405.3					
Eupa_00-01-17.409	Eupa_00-01-17.409.16					
Eupa_00-01-17.413	Eupa_00-01-17.413.30					
Eupa_00-01-17.425	Eupa_00-01-17.425.10					
Eupa_00-01-17.425	Eupa_00-01-17.425.11					
Eupa_00-01-17.434	Eupa_00-01-17.434.19					
Eupa_00-01-17.440	Eupa_00-01-17.440.21					
Eupa_00-01-17.443	Eupa_00-01-17.443.9					
Eupa_00-01-17.446	Eupa_00-01-17.446.30					
Eupa_00-01-17.448	Eupa_00-01-17.448.17					
Eupa_00-01-17.448	Eupa_00-01-17.448.14					
Eupa_00-01-17.452	Eupa_00-01-17.452.11					
Eupa_00-01-17.452	Eupa_00-01-17.452.32					
Eupa_00-01-17.455	Eupa_00-01-17.455.17					
Eupa_00-01-17.456	Eupa_00-01-17.456.12					
Eupa_00-01-17.461	Eupa_00-01-17.461.14					
Eupa_00-01-17.464	Eupa_00-01-17.464.4					
Eupa_00-01-17.466	Eupa_00-01-17.466.nt.4					
Eupa_00-01-17.476	Eupa_00-01-17.476.12					
Eupa_00-01-17.476	Eupa_00-01-17.476.9					
Eupa_00-01-17.476	Eupa_00-01-17.476.18					
Eupa_00-01-17.477	Eupa_00-01-17.477.20					
Eupa_00-01-17.479	Eupa_00-01-17.479.3					
Eupa_00-01-17.480	Eupa_00-01-17.480.5					
Eupa_00-01-17.481	Eupa_00-01-17.481.nt.4					
Eupa_00-01-17.485	Eupa_00-01-17.485.18					
Eupa_00-01-17.485	Eupa_00-01-17.485.3					
Eupa_00-01-17.487	Eupa_00-01-17.487.36					
Eupa_00-01-17.489	Eupa_00-01-17.489.5					
Eupa_00-01-17.491	Eupa_00-01-17.491.26					
Eupa_00-01-17.506	Eupa_00-01-17.506.13					
Eupa_00-01-17.508	Eupa_00-01-17.508.4					
Eupa_00-01-17.510	Eupa_00-01-17.510.3					
Eupa_00-01-17.511	Eupa_00-01-17.511.28					
Eupa_00-01-17.511	Eupa_00-01-17.511.25					
Eupa_00-01-17.511	Eupa_00-01-17.511.14					
Eupa_00-01-17.512	Eupa_00-01-17.512.nt.4					
Eupa_00-01-17.514	Eupa_00-01-17.514.15					
Eupa_00-01-17.515	Eupa_00-01-17.515.5					
Eupa_00-01-17.519	Eupa_00-01-17.519.11					
Eupa_00-01-17.520	Eupa_00-01-17.520.27					
Eupa_00-01-17.522	Eupa_00-01-17.522.6					
Eupa_00-01-17.524	Eupa_00-01-17.524.16					
Eupa_00-01-17.526	Eupa_00-01-17.526.3					
Eupa_00-01-17.527	Eupa_00-01-17.527.6					
Eupa_00-01-17.532	Eupa_00-01-17.532.3					
Eupa_00-01-17.533	Eupa_00-01-17.533.32					
Eupa_00-01-17.535	Eupa_00-01-17.535.1					
Eupa_00-01-17.536	Eupa_00-01-17.536.11					
Eupa_00-01-17.537	Eupa_00-01-17.537.12					
Eupa_00-01-17.538	Eupa_00-01-17.538.1					
Eupa_00-01-17.540	Eupa_00-01-17.540.5					
Eupa_00-01-17.541	Eupa_00-01-17.541.1					
Eupa_00-01-17.543	Eupa_00-01-17.543.4					
Eupa_00-01-17.550	Eupa_00-01-17.550.10					
Eupa_00-01-17.552	Eupa_00-01-17.552.14					
Eupa_00-01-17.552	Eupa_00-01-17.552.15					
Eupa_00-01-17.563	Eupa_00-01-17.563.1					
Eupa_00-01-17.565	Eupa_00-01-17.565.23					
Eupa_00-01-17.566	Eupa_00-01-17.566.35					
Eupa_00-01-17.572	Eupa_00-01-17.572.3					
Eupa_00-01-17.574	Eupa_00-01-17.574.2					
Eupa_00-01-17.577	Eupa_00-01-17.577.5					
Eupa_00-01-17.585	Eupa_00-01-17.585.nt.4					
Eupa_00-01-17.587	Eupa_00-01-17.587.25					
Eupa_00-01-17.587	Eupa_00-01-17.587.18					
Eupa_00-01-17.587	Eupa_00-01-17.587.4					
Eupa_00-01-17.588	Eupa_00-01-17.588.12					
Eupa_00-01-17.591	Eupa_00-01-17.591.9					
Eupa_00-01-17.601	Eupa_00-01-17.601.23					
Eupa_00-01-17.616	Eupa_00-01-17.616.16					
Eupa_00-01-17.618	Eupa_00-01-17.618.8					
Eupa_00-01-17.618	Eupa_00-01-17.618.16					
Eupa_00-01-17.620	Eupa_00-01-17.620.1					
